No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank
337,amazon mini t v,301000,48,632,$0.01,4,43,https://www.olx.in/item/tvs-video-audio-c1523-amazon-alexa-echo-input-with-free-mini-bluetooth-speaker-in-ashok-nagar-srinagar-iid-1840272248,Srinagar,Unknown,Unknown,Unknown,Srinagar,Unknown,,,,1
338,drones,368000,59,632,$0.01,93,88,https://www.olx.in/cameras-lenses_c1517/q-drone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
339,employment opportunity near me,301000,7,14116,$0.16,1,39,https://www.olx.in/hyderabad_g4058526/jobs_c4,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
340,eluru india,301000,31,632,$0.11,1,36,https://www.olx.in/en-in/eluru_g4058517,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
341,e cycle,301000,53,632,$0.01,96,76,https://www.olx.in/en-in/bicycles_c1415/q-electric,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
342,thodupuzha,246000,26,590,$0,3,61,https://www.olx.in/en-in/thodupuzha_g4387975/jobs_c4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
343,yamaha f z,246000,17,1254,$0.01,2,33,https://www.olx.in/motorcycles_c81/q-fz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
344,kawasaki z900,301000,23,1057,$0.01,1,41,https://www.olx.in/en-in/motorcycles_c81/q-kawasaki?filter=model_eq_motorcycles-kawasaki-z900,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
345,pudukkottai,201000,18,1377,$0,1,61,https://www.olx.in/en-in/pudukkottai_g4059203/office-assistant_c2201,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
346,hubli karnataka,18100,44,516,$0,2,24,https://www.olx.in/hubballi_g4058830/cars_c84/q-wagon-r,Hubballi,Unknown,Unknown,Unknown,Hubballi,Unknown,,,,1
347,honda activa 6g,246000,29,541,$0.01,2,43,https://www.olx.in/en-in/scooters_c1413/q-honda-activa-6g,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
348,guitar rate,246000,21,1377,$0.03,96,18,https://www.olx.in/musical-instruments_c714/q-guitar-price,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
349,apache rr 310,201000,30,541,$0.16,1,43,https://www.olx.in/en-in/tvs-motorcycles_c81/q-apache-rr310,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
350,screen for computer monitor,246000,36,516,$0.04,92,32,https://www.olx.in/en-in/computers-laptops_c1505/q-monitor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
351,refrigerator,246000,15,2238,$0.20,92,88,https://www.olx.in/fridges_c1617,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
352,jupiter,301000,26,565,$0.14,2,61,https://www.olx.in/scooters_c1413/q-tvs-jupiter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
353,janak puri delhi,246000,61,516,$0.11,4,25,https://www.olx.in/janakpuri_g5328292/motorcycles_c81,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
354,mahindra car company,246000,62,516,$0.10,6,78,https://www.olx.in/en-in/cars_c84?filter=make_eq_mahindra,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
355,khanna khanna,201000,48,516,$0,1,47,https://www.olx.in/en-in/khanna_g4059083,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
356,guitar price,201000,10,8314,$0.02,96,76,https://www.olx.in/musical-instruments_c714/q-guitar-price,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
357,fort kochi,246000,78,516,$0.54,6,38,https://www.olx.in/fort-kochi_g5316645,Kochi,Unknown,Unknown,Unknown,Kochi,Unknown,,,,1
358,ambattur chennai,246000,18,1451,$0.08,5,22,https://www.olx.in/ambattur_g4059150/jobs_c4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
359,r15 yamaha,110000,26,664,$0.01,1,48,https://www.olx.in/motorcycles_c81/q-r15,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
360,xpulse 210,246000,15,2779,$0.01,1,48,https://www.olx.in/en-in/motorcycles_c81?filter=model_eq_hero-motorcycle-xpulse-210,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
361,kochi fort,201000,89,516,$0.28,5,49,https://www.olx.in/item/security-guards-c411-full-time-in-fort-kochi-kochi-iid-1840293197,Kochi,Unknown,Unknown,Unknown,Kochi,Unknown,,,,1
362,hero honda motorcycle,1600,20,1057,$0.10,4,63,https://www.olx.in/item/motorcycles-c81-used-hero-honda-super-splendor-in-banswara-rural-banswara-iid-1840495480,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
363,hero bikes,301000,37,516,$0.01,5,49,https://www.olx.in/tamil-nadu_g2001173/q-hero-bike,Unknown,Tamil Nadu,India,South,Unknown,Unknown,,,,1
364,chair for office,33100,43,516,$0.12,100,53,https://www.olx.in/sofa-dining_c1593/q-office-chair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
365,cctv and security cameras,246000,61,516,$0.02,92,41,https://www.olx.in/item/cameras-lenses-c1517-cctv-camera-set-with-dvrnvr-home-shop-security-in-gandhi-nagar-jammu-iid-1840378922,Jammu,Unknown,Unknown,Unknown,Jammu,Unknown,,,,1
366,royal enfield meteor 350,201000,85,516,$0.14,4,36,https://www.olx.in/en-in/west-bengal_g2001177/motorcycles_c81?filter=model_eq_motorcycles-royal-enfield-meteor-350,Unknown,West Bengal,India,East,Unknown,Unknown,,,,1
367,ring,246000,60,516,$0.21,95,89,https://www.olx.in/fashion-beauty_c87/q-ring,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
368,iphone 7,246000,12,3690,$0.01,34,56,https://www.olx.in/mobiles_c1411/q-iphone-7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
369,honda amaze,301000,28,565,$0.16,6,49,https://www.olx.in/cars_c84/q-honda-amaze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
370,bardoli gujarat,201000,53,516,$0,1,47,https://www.olx.in/bardoli_g4058682/cook_c2202,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
371,air conditioner with price,246000,49,516,$0.07,98,34,https://www.olx.in/acs_c1619,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
372,ratnagiri in maharashtra,246000,63,516,$0.17,1,22,https://www.olx.in/item/other-jobs-c65-part-time-in-maruti-mandir-ratnagiri-iid-1840376377,Ratnagiri,Unknown,Unknown,Unknown,Ratnagiri,Unknown,,,,1
373,price of guitar,246000,10,8314,$0.01,95,21,https://www.olx.in/musical-instruments_c714/q-guitar-price,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
374,pc,246000,42,516,$0.08,82,25,https://www.olx.in/computers-laptops_c1505/q-pc,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
375,second hand cars,201000,4,16211,$0.07,47,57,https://www.olx.in/en-in/delhi_g4058659/cars_c84,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
376,haryana pkl,246000,49,516,$0.10,2,53,https://www.olx.in/item/delivery-collection-c2205-full-time-in-sector-20-panchkula-iid-1840372061,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
377,fzs yamaha,246000,32,516,$0.01,1,36,https://www.olx.in/motorcycles_c81/q-fz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
378,bhiwani in haryana,246000,22,1057,$0.07,1,30,https://www.olx.in/en-in/bhiwani_g4058745/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
379,bardoli surat,201000,19,1377,$0,1,47,https://www.olx.in/en-in/surat_g4058727/q-bardoli,Surat,Unknown,Unknown,Unknown,Surat,Unknown,,,,1
380,anjaneya pics,246000,47,516,$0,49,29,https://www.olx.in/en-in/hyderabad_g4058526/bikes_c2198,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
381,continental gt 650,301000,17,2238,$0.01,1,43,https://www.olx.in/en-in/bikes_c2198/q-gt-650,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
382,iphone 12 pro,246000,23,1057,$0.01,67,52,https://www.olx.in/en-in/mobile-phones_c1453/q-iphone-12-pro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
383,yamaha rx 100,368000,5,23935,$0,1,42,https://www.olx.in/en-in/motorcycles_c81/q-rx100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
384,gandhidham,201000,94,516,$0,2,61,https://www.olx.in/en-in/gandhidham_g4058697/bikes_c2198,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
385,delhi pahar ganj,246000,39,516,$0.26,4,25,https://www.olx.in/paharganj_g5327426,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
386,nexon,246000,35,516,$0.18,10,64,https://www.olx.in/en-in/cars_c84/q-tata-nexon,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
387,morris garages cyberster,201000,85,516,$0.32,5,41,https://www.olx.in/en-in/mumbai_g4058997/cars_c84?filter=model_eq_mg-cyberstar,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
388,ratlam mp,1300,16,2238,$0,1,18,https://www.olx.in/en-in/ratlam_g4058934,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
389,guitar and prices,246000,19,1254,$0.01,95,18,https://www.olx.in/musical-instruments_c714/q-guitar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
390,arm chair office,246000,60,516,$0.10,100,32,https://www.olx.in/en-in/item/other-household-items-c293-leatherette-office-adjustable-arm-chair-in-hoshiyarpur-noida-iid-1840307713,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
391,vivo 5g mobile,301000,25,664,$0.05,100,73,https://www.olx.in/mobile-phones_c1453/q-vivo-5g,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
392,thane viviana mall,246000,103,516,$0.12,5,22,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-cadbury-junction-thane-iid-1840328672,Thane,Unknown,Unknown,Unknown,Thane,Unknown,,,,1
393,office chair chairs,246000,49,516,$0.11,100,53,https://www.olx.in/sofa-dining_c1593/q-office-chair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
394,gujarat valsad,201000,24,664,$0,1,48,https://www.olx.in/en-in/valsad_g4058733/furniture_c628,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
395,infinix gt 20 pro,673000,27,565,$0.08,99,64,https://www.olx.in/en-in/mobile-phones_c1453/q-20-pro?filter=make_eq_infinix,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
396,yamaha fz,301000,25,590,$0.01,1,48,https://www.olx.in/motorcycles_c81/q-fz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
397,rado watches,246000,45,516,$0.13,95,76,https://www.olx.in/men_c1793/q-rado-watches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
398,bat,246000,95,516,$0.07,39,72,https://www.olx.in/sports-equipment_c100/q-cricket-bat,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
399,air conditioner ac price,201000,26,541,$0.10,98,54,https://www.olx.in/acs_c1619,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
400,mg hector,246000,13,4846,$0.31,5,49,https://www.olx.in/cars_c84/q-mg-hector,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
401,vaishali district,165000,18,1451,$0,5,49,https://www.olx.in/vaishali_g4404389/lands-plots_c1729,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
402,paharganj,201000,23,664,$0.67,6,62,https://www.olx.in/en-in/paharganj_g5327426/jobs_c4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
403,fz yamaha fz,246000,17,1845,$0.01,2,31,https://www.olx.in/motorcycles_c81/q-fz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
404,yamaha rx100,301000,3,39852,$0,1,47,https://www.olx.in/en-in/motorcycles_c81/q-rx100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
405,yamaha r15,110000,34,516,$0.01,1,48,https://www.olx.in/motorcycles_c81/q-r15,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
406,refrigerators,246000,19,1451,$0.20,92,88,https://www.olx.in/fridges_c1617,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
407,india khanna,246000,27,541,$0.11,1,28,https://www.olx.in/en-in/khanna_g4059083,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
408,honda activa,246000,28,541,$0.01,3,48,https://www.olx.in/en-in/tamil-nadu_g2001173/scooters_c1413/q-activa,Unknown,Tamil Nadu,India,South,Unknown,Unknown,,,,1
409,loni,201000,48,516,$0,5,62,https://www.olx.in/loni_g4059305/for-sale-houses-apartments_c1725,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
410,bardoli city,246000,102,516,$0.07,1,24,https://www.olx.in/en-in/bardoli_g4058682/pg-guest-houses_c1449,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
411,design bed design,246000,84,516,$0.02,98,44,https://www.olx.in/item/beds-wardrobes-c1591-designer-double-bed-direct-from-factory-for-bedroom-guestroom-bst-rate-in-jawahar-colony-faridabad-iid-1840235935,Faridabad,Unknown,Unknown,Unknown,Faridabad,Unknown,,,,1
412,coimbatore valparai,246000,75,516,$0.21,1,48,https://www.olx.in/valparai_g4059228/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
413,gt continental 650,246000,18,2238,$0.41,1,44,https://www.olx.in/motorcycles_c81?filter=model_eq_motorcycles-royal-enfield-continental-gt-650,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
414,ganganagar location,246000,34,516,$0.16,2,23,https://www.olx.in/en-in/sri-ganganagar_g4059119,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
415,jcb,246000,54,516,$0.22,14,65,https://www.olx.in/en-in/commercial-other-vehicles_c85/q-jcb,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
416,apache,246000,24,664,$0.02,2,73,https://www.olx.in/motorcycles_c81/q-apache,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
417,duke 200,246000,29,541,$0.06,2,48,https://www.olx.in/en-in/motorcycles_c81/q-duke-200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
418,t v s bikes,246000,37,516,$0.02,7,28,https://www.olx.in/blog/bikes/top-tvs-bikes-in-india/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
419,yamaha r x hundred,246000,5,23935,$0.35,1,26,https://www.olx.in/en-in/motorcycles_c81/q-rx100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
420,r1 5 yamaha,246000,25,590,$0.03,1,41,https://www.olx.in/motorcycles_c81/q-r15,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
421,fz,246000,20,1057,$0.01,1,24,https://www.olx.in/motorcycles_c81/q-fz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
422,z900,201000,21,1377,$0.01,4,62,https://www.olx.in/en-in/motorcycles_c81/q-kawasaki-z900,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
423,second hand car,246000,4,16211,$0.08,44,72,https://www.olx.in/en-in/cars_c84,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
424,jewellery shop near me,246000,45,516,$0.28,34,77,https://www.olx.in/en-in/items/q-jewellery-shop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
425,idukki thodupuzha,246000,109,516,$0.24,1,26,https://www.olx.in/thodupuzha_g4387975/q-kerala-idukki,Unknown,Kerala,India,South,Unknown,Unknown,,,,1
426,rado watch,246000,27,590,$0.11,100,78,https://www.olx.in/men_c1793/q-rado-watches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
427,bhiwani hr,246000,30,516,$0.07,1,19,https://www.olx.in/en-in/bhiwani_g4058745/jobs_c4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
428,x pulse 210,246000,21,1254,$0.01,1,19,https://www.olx.in/en-in/motorcycles_c81?filter=model_eq_hero-motorcycle-xpulse-210,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
429,toyota hilux,201000,25,811,$0.10,2,59,https://www.olx.in/en-in/cars_c84?filter=model_eq_toyota-hilux,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
430,motorola edge 50,1220000,88,516,$0.19,100,40,https://www.olx.in/item/mobile-phones-c1453-used-motorola-in-karawal-nagar-delhi-iid-1840649897,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
431,ratlam madhya pradesh,201000,23,1057,$0,1,42,https://www.olx.in/en-in/ratlam_g4058934/for-rent-houses-apartments_c1723,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
432,porsche 911,201000,29,541,$0.42,1,47,https://www.olx.in/en-in/cars_c84?filter=model_eq_porsche-911,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
433,gita mandir ahmedabad,246000,97,516,$0.09,4,19,https://www.olx.in/ahmedabad_g4058677,Ahmedabad,Unknown,Unknown,Unknown,Ahmedabad,Unknown,,,,1
434,mahindra car mahindra car,246000,54,516,$0.10,6,68,https://www.olx.in/item/cars-c84-used-mahindra-scorpio-classic-in-pallivasal-cheranmadevi-iid-1840363300,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
435,washing machine and price,201000,23,542,$0.06,98,42,https://www.olx.in/washing-machines_c1615,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
436,vitara brezza price diesel,246000,31,422,$0.07,12,36,https://www.olx.in/tamil-nadu_g2001173/q-vitara-brezza-diesel,Unknown,Tamil Nadu,India,South,Unknown,Unknown,,,,1
437,movie cds,201000,25,442,$0.04,1,20,https://www.olx.in/tvs-video-audio_c1523/q-dvd-movie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
438,men's watch rolex,165000,27,442,$0.30,65,32,https://www.olx.in/men_c1793/q-rolex-watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
439,jawa 42,246000,36,422,$0.02,4,49,https://www.olx.in/motorcycles_c81/q-jawa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
440,geyser,201000,54,422,$0.10,96,89,https://www.olx.in/kitchen-other-appliances_c1417?filter=electrical_appliances_eq_geyser,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
441,cuddalore location,201000,30,422,$0.11,1,37,https://www.olx.in/en-in/cuddalore_g4059166,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
442,wardha wardha,201000,49,422,$0.11,1,26,https://www.olx.in/item/office-assistant-c2201-full-time-in-sable-layout-wardha-iid-1840254145,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
443,standard bullet 350,201000,19,1125,$0.40,2,42,https://www.olx.in/en-in/royal-enfield-motorcycles_c81/q-standard-bullet-model,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
444,washing machine price,201000,42,422,$0.10,98,72,https://www.olx.in/en-in/washing-machine_c1615/q-price-in,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
445,shotgun 650,165000,24,864,$0.01,1,47,https://www.olx.in/en-in/motorcycles_c81?filter=model_eq_royal-enfield-shotgun-650,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
446,sector 22 in chandigarh,201000,19,1025,$0.12,5,22,https://www.olx.in/chandigarh_g4058651/q-sector-22,Unknown,Chandigarh,India,North,Unknown,Unknown,,,,1
447,maharashtra wardha,201000,44,422,$0.14,1,28,https://www.olx.in/item/office-assistant-c2201-full-time-in-sable-layout-wardha-iid-1840254145,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
448,lenovo company laptop,201000,36,422,$0.11,92,57,https://www.olx.in/en-in/computers-laptops_c1505/q-new-lenovo-laptop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
449,khandwa india,201000,24,663,$0.10,1,34,https://www.olx.in/khandwa_g4058921/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
450,burgman,201000,51,422,$0.01,2,61,https://www.olx.in/en-in/scooters_c1413/q-burgman,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
451,bardhaman city,201000,48,422,$0,1,48,https://www.olx.in/en-in/bardhaman_g4221360/for-rent-shops-offices_c1731,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
452,3 bhk,201000,26,542,$2.02,5,20,https://www.olx.in/properties_c3/q-3-bhk,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
453,std 350 bullet,201000,26,482,$0.17,4,43,https://www.olx.in/en-in/royal-enfield-motorcycles_c81/q-standard-bullet-model,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
454,railway station aluva,165000,48,422,$0.08,1,29,https://www.olx.in/item/driver-c2206-full-time-in-railway-station-square-aluva-iid-1840345895,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
455,virar,201000,39,422,$0,3,61,https://www.olx.in/en-in/virar-west_g5392021/other-jobs_c65,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
456,jammu kashmir gulmarg,201000,104,422,$0.17,1,39,https://www.olx.in/item/cars-c84-used-audi-a4-in-gulmarg-colony-jammu-iid-1840320551,Gulmarg,Unknown,Unknown,Unknown,Gulmarg,Unknown,,,,1
457,firozabad firozabad,201000,95,422,$0.07,1,39,https://www.olx.in/firozabad_g4059277/mobile-phones_c1453,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
458,defender car,201000,31,422,$0.29,4,49,https://www.olx.in/en-in/cars_c84/q-defender,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
459,chitrakoot,301000,29,482,$0.27,1,60,https://www.olx.in/chitrakoot_g4397747/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
460,bagdogra airport,201000,44,422,$0.13,2,48,https://www.olx.in/en-in/uttar-bagdogra_g4405305/jobs_c4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
461,autos,165000,19,1025,$0.65,1,61,https://www.olx.in/cars_c84,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
462,andhra rajahmundry,165000,50,422,$0.12,1,24,https://www.olx.in/rajahmundry_g4058567,Rajahmundry,Unknown,Unknown,Unknown,Rajahmundry,Unknown,,,,1
463,3bhk,201000,52,422,$1.25,3,19,https://www.olx.in/real-estate_c3/q-3bhk,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
464,parbhani city,165000,25,663,$0,1,47,https://www.olx.in/parbhani_g4059010/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
465,parbhani,165000,28,442,$0,1,60,https://www.olx.in/en-in/parbhani_g4059010/bikes_c2198,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
466,steam oled,201000,31,422,$0.16,1,46,https://www.olx.in/en-in/games-entertainment_c93/q-steam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
467,scooty price,201000,27,542,$0.01,9,50,https://www.olx.in/en-in/andhra-pradesh_g2001145/scooters_c1413/q-scooty,Unknown,Andhra Pradesh,India,South,Unknown,Unknown,,,,1
468,interceptor 650,201000,19,1185,$0.01,1,48,https://www.olx.in/motorcycles_c81/q-interceptor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
469,laundry machine price,201000,39,422,$0.05,98,72,https://www.olx.in/en-in/washing-machine_c1615/q-laundry-machine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
470,tvs ntorq 125,201000,31,422,$0.02,10,46,https://www.olx.in/bikes_c2198/q-ntorq,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
471,mp khandwa,201000,61,422,$0.15,1,27,https://www.olx.in/khandwa_g4058921/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
472,maharashtra ulhasnagar,201000,31,422,$0.10,3,19,https://www.olx.in/item/other-jobs-c65-full-time-in-valdhuni-ulhasnagar-iid-1840377035,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
473,kozhikode to hilite mall,201000,26,422,$0.40,3,27,https://www.olx.in/en-in/kozhikode_g4058877/properties_c3/q-hilite-mall,Kozhikode,Unknown,Unknown,Unknown,Kozhikode,Unknown,,,,1
474,rolex watches for men,165000,33,422,$0.25,68,55,https://www.olx.in/men_c1793/q-rolex-watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
475,punjabi university patiala,201000,68,422,$0.60,1,43,https://www.olx.in/en-in/patiala_g4059093/for-rent-houses-apartments_c1723,Patiala,Unknown,Unknown,Unknown,Patiala,Unknown,,,,1
476,dressing table,201000,91,422,$0.05,100,56,https://www.olx.in/item/beds-wardrobes-c1591-dressing-table-new-brand-latest-stock-in-zundal-ahmedabad-iid-1840717136,Ahmedabad,Unknown,Unknown,Unknown,Ahmedabad,Unknown,,,,1
477,khandwa mp,165000,14,3015,$0,1,47,https://www.olx.in/khandwa_g4058921/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
478,khandwa city,165000,24,864,$0,1,47,https://www.olx.in/en-in/khandwa_g4058921/for-sale-houses-apartments_c1725,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
479,access,165000,43,422,$0.18,1,60,https://www.olx.in/en-in/scooters_c1413/q-suzuki-access-125,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
480,bullet 350 standard,201000,20,1185,$0.40,2,38,https://www.olx.in/en-in/royal-enfield-motorcycles_c81/q-bullet-standard,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
481,auto,201000,9,6793,$0.45,2,81,https://www.olx.in/en-in/chennai_g4059162/q-auto-rickshaw-vehicle,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
482,price brezza,201000,54,422,$0.08,12,20,https://www.olx.in/en-in/jind_g4058752/cars_c84?filter=model_eq_maruti-suzuki-brezza,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
483,andhra pradesh rajahmundry,165000,29,482,$0.12,1,21,https://www.olx.in/en-in/rajahmundry_g4058567/other-jobs_c65,Rajahmundry,Unknown,Unknown,Unknown,Rajahmundry,Unknown,,,,1
484,dji drone,201000,42,422,$0.02,95,76,https://www.olx.in/en-in/cameras-lenses_c1517/q-dji-drone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
485,laptops dell computers,201000,23,864,$0.07,100,55,https://www.olx.in/computers-laptops_c1505/q-dell,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
486,scooty and prices,201000,21,864,$0.03,6,24,https://www.olx.in/en-in/chennai_g4059162/scooters_c1413/q-low-prices,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
